family,old_image,new_image,old_label,new_label
frame,752107057_3109154799284131_7440322792602840071_n.jpg,frame_0201.jpg,752107057_3109154799284131_7440322792602840071_n.txt,frame_0201.txt
frame,752488700_3110237195842558_8613526301335210037_n.jpg,frame_0202.jpg,752488700_3110237195842558_8613526301335210037_n.txt,frame_0202.txt
frame,753164113_3109261529273458_3269680644314744759_n.jpg,frame_0203.jpg,753164113_3109261529273458_3269680644314744759_n.txt,frame_0203.txt
frame,753241673_3109584412574503_876410147801455554_n.jpg,frame_0204.jpg,753241673_3109584412574503_876410147801455554_n.txt,frame_0204.txt
frame,753288109_3107153722817572_4865296228075811178_n.jpg,frame_0205.jpg,753288109_3107153722817572_4865296228075811178_n.txt,frame_0205.txt
frame,761280300_3118156995050578_5499502110109645766_n.jpg,frame_0206.jpg,761280300_3118156995050578_5499502110109645766_n.txt,frame_0206.txt
frame,776222360_3134118836787727_5821430833079145629_n.jpg,frame_0207.jpg,776222360_3134118836787727_5821430833079145629_n.txt,frame_0207.txt
frame,777298009_3134975063368771_5717026007798408244_n.jpg,frame_0208.jpg,777298009_3134975063368771_5717026007798408244_n.txt,frame_0208.txt
frame,779134148_3134173766782234_9061778989615872243_n.jpg,frame_0209.jpg,779134148_3134173766782234_9061778989615872243_n.txt,frame_0209.txt
frame,781293045_3137217116477899_8186265990561119751_n.jpg,frame_0210.jpg,781293045_3137217116477899_8186265990561119751_n.txt,frame_0210.txt
frame,783452784_3137840413082236_1944345023354925504_n.jpg,frame_0211.jpg,783452784_3137840413082236_1944345023354925504_n.txt,frame_0211.txt
frame,786342964_3144958145703796_3799882826124502448_n.jpg,frame_0212.jpg,786342964_3144958145703796_3799882826124502448_n.txt,frame_0212.txt
frame,786616707_3144993659033578_5099906613531166286_n.jpg,frame_0213.jpg,786616707_3144993659033578_5099906613531166286_n.txt,frame_0213.txt
frame,791130090_3149084058624538_4814868641329831161_n.jpg,frame_0214.jpg,791130090_3149084058624538_4814868641329831161_n.txt,frame_0214.txt
frame,791246555_3148649575334653_693589519763975338_n.jpg,frame_0215.jpg,791246555_3148649575334653_693589519763975338_n.txt,frame_0215.txt
frame,792807169_3150090535190557_167819475386793100_n.jpg,frame_0216.jpg,792807169_3150090535190557_167819475386793100_n.txt,frame_0216.txt
frame,793337091_10231433123440673_948437208188655242_n.jpg,frame_0217.jpg,793337091_10231433123440673_948437208188655242_n.txt,frame_0217.txt
frame,794394831_10231433122480649_8245657202698097816_n.jpg,frame_0218.jpg,794394831_10231433122480649_8245657202698097816_n.txt,frame_0218.txt
frame,794484938_10231433120080589_5646765063739263255_n.jpg,frame_0219.jpg,794484938_10231433120080589_5646765063739263255_n.txt,frame_0219.txt
frame,794560971_10231433126800757_6371343794215583041_n.jpg,frame_0220.jpg,794560971_10231433126800757_6371343794215583041_n.txt,frame_0220.txt
frame,797336855_3163243847208559_5933771732280846040_n.jpg,frame_0221.jpg,797336855_3163243847208559_5933771732280846040_n.txt,frame_0221.txt
frame,800074111_970174286101848_6337554915377515647_n.jpg,frame_0222.jpg,800074111_970174286101848_6337554915377515647_n.txt,frame_0222.txt
frame,800116787_970174099435200_2319647429412901534_n.jpg,frame_0223.jpg,800116787_970174099435200_2319647429412901534_n.txt,frame_0223.txt
frame,800811945_970174319435178_7792595958611715207_n.jpg,frame_0224.jpg,800811945_970174319435178_7792595958611715207_n.txt,frame_0224.txt
frame,800819184_970174192768524_1197929818690819197_n.jpg,frame_0225.jpg,800819184_970174192768524_1197929818690819197_n.txt,frame_0225.txt
frame,800819204_970174059435204_4685162326294953905_n.jpg,frame_0226.jpg,800819204_970174059435204_4685162326294953905_n.txt,frame_0226.txt
frame,800827637_970174352768508_8185071998741546800_n.jpg,frame_0227.jpg,800827637_970174352768508_8185071998741546800_n.txt,frame_0227.txt
frame,800843189_970174139435196_1320416016849265993_n.jpg,frame_0228.jpg,800843189_970174139435196_1320416016849265993_n.txt,frame_0228.txt
frame,806129214_2283103515822264_6270734686053823281_n.jpg,frame_0229.jpg,806129214_2283103515822264_6270734686053823281_n.txt,frame_0229.txt
frame,806473736_2283103542488928_8547605411497744792_n.jpg,frame_0230.jpg,806473736_2283103542488928_8547605411497744792_n.txt,frame_0230.txt
frame,806473760_2283103405822275_951946185397885977_n.jpg,frame_0231.jpg,806473760_2283103405822275_951946185397885977_n.txt,frame_0231.txt
frame,808138261_970174222768521_5369765882199460663_n.jpg,frame_0232.jpg,808138261_970174222768521_5369765882199460663_n.txt,frame_0232.txt
frame,808138267_970174252768518_6538318020975727869_n.jpg,frame_0233.jpg,808138267_970174252768518_6538318020975727869_n.txt,frame_0233.txt
frame,810623519_3162188783980732_1998106931107564672_n.jpg,frame_0234.jpg,810623519_3162188783980732_1998106931107564672_n.txt,frame_0234.txt
frame,813020855_3163211883878422_7868697834925121591_n.jpg,frame_0235.jpg,813020855_3163211883878422_7868697834925121591_n.txt,frame_0235.txt
